번호,칵테일,조주법,글라스,가니쉬,재료1,재료2,재료3+
28,Pina Colada,Blend,Footed Pilsner Glass,Pineapple & Cherry,Light Rum 1 1/4oz,Pina Colada Mix 2oz,Pineapple Juice 2oz
29,Cosmopolitan,Shake,Cocktail Glass,Lime/Lemon Twist,Vodka 1oz,Triple Sec 1/2oz,Lime Juice 1/2oz; Cranberry Juice 1/2oz
30,Moscow Mule,Build,Highball Glass,Lime/Lemon Slice,Vodka 1 1/2oz,Lime Juice 1/2oz,Ginger Ale
31,Apricot Cocktail,Shake,Cocktail Glass,없음,Apricot Brandy 1 1/2oz,Dry Gin 1tsp,Lemon Juice 1/2oz; Orange Juice 1/2oz
32,Honeymoon Cocktail,Shake,Cocktail Glass,없음,Apple Brandy 3/4oz,Benedictine DOM 3/4oz,Triple Sec 1/4oz; Lemon Juice 1/2oz
33,Blue Hawaiian,Blend,Footed Pilsner Glass,Pineapple & Cherry,Light Rum 1oz,Blue Curacao 1oz,Coconut Rum 1oz; Pineapple Juice 2 1/2oz
34,Kir,Build,White Wine Glass,Twist of Lemon Peel,White Wine 3oz,Creme de Cassis 1/2oz,
35,Tequila Sunrise,Build/Float,Footed Pilsner Glass,없음,Tequila 1 1/2oz,Orange Juice,Grenadine Syrup 1/2oz
36,Healing,Shake,Cocktail Glass,Twist of Lemon Peel,Gam Hong Ro 1 1/2oz,Benedictine 1/3oz,Creme de Cassis 1/3oz; Sweet&Sour Mix 1oz
37,Jindo,Shake,Cocktail Glass,없음,Jindo Hong Ju 1oz,Creme de Menthe White 1/2oz,White Grape Juice 3/4oz; Raspberry Syrup 1/2oz
38,Puppy Love,Shake,Cocktail Glass,Apple Slice,Andong Soju 1oz,Triple Sec 1/3oz,Apple Pucker 1oz; Lime Juice 1/3oz
39,Geumsan,Shake,Cocktail Glass,없음,Geumsan Insamju 1 1/2oz,Kahlua 1/2oz,Apple Pucker 1/2oz; Lime Juice 1tsp
40,Gochang,Stir,Flute Champagne Glass,없음,Sunwoonsan Bokbunja Wine 2oz,Cointreau/Triple Sec 1/2oz,Sprite 2oz
